Code,Status,Order date,Delivery date,Total price,Delivery agent,Order
CMD260416295,TO_DELIVER,17/04/2026 10:36:41,30/04/2026,27838.80,L119,1
CMD260425077,TO_DELIVER,25/04/2026 19:17:59,30/04/2026,20859.10,L216,1
CMD260424029,TO_DELIVER,24/04/2026 21:17:06,30/04/2026,8702.50,L216,2
CMD260426428,TO_DELIVER,27/04/2026 17:44:55,30/04/2026,1206.00,L216,3
CMD260426179,TO_DELIVER,27/04/2026 15:04:49,30/04/2026,10367.60,L216,4
CMD260418667,TO_DELIVER,19/04/2026 23:03:52,30/04/2026,10306.80,L220,1
CMD260411612,TO_DELIVER,12/04/2026 21:24:22,30/04/2026,7596.00,L220,2
CMD26045133,TO_DELIVER,06/04/2026 10:55:28,30/04/2026,7596.00,L220,3
CMD260419575,TO_DELIVER,20/04/2026 23:04:34,30/04/2026,585.00,L220,4
CMD260419572,TO_DELIVER,20/04/2026 23:04:33,30/04/2026,911.52,L220,5
CMD260419573,TO_DELIVER,20/04/2026 23:04:34,30/04/2026,12060.00,L220,6
CMD260414464,TO_DELIVER,15/04/2026 13:16:48,30/04/2026,5986.00,L220,7
CMD26041828,TO_DELIVER,02/04/2026 16:10:34,30/04/2026,21751.20,L220,8
CMD260417317,TO_DELIVER,18/04/2026 00:00:19,30/04/2026,89997.00,L220,9
CMD260427637,TO_DELIVER,29/04/2026 10:00:18,30/04/2026,5370.00,L222,1
CMD260411565,TO_DELIVER,12/04/2026 20:01:11,30/04/2026,5123.00,L222,2
CMD260411557,TO_DELIVER,12/04/2026 19:49:10,30/04/2026,4221.00,L222,3
CMD260411573,TO_DELIVER,12/04/2026 20:13:45,30/04/2026,69712.00,L222,4
CMD260411503,TO_DELIVER,12/04/2026 18:57:28,30/04/2026,2110.90,L222,5
CMD260411504,TO_DELIVER,12/04/2026 18:57:29,30/04/2026,8351.00,L222,6
CMD260426973,TO_DELIVER,28/04/2026 11:13:55,30/04/2026,5370.00,L222,7
CMD260423477,TO_DELIVER,24/04/2026 16:54:37,30/04/2026,10944.00,L222,8
CMD260426972,TO_DELIVER,28/04/2026 11:13:54,30/04/2026,16712.00,L222,9
CMD260410117,TO_DELIVER,10/04/2026 16:21:23,30/04/2026,39680.00,L228,1
CMD260418626,TO_DELIVER,19/04/2026 20:49:55,30/04/2026,2044.60,L228,2
CMD260417333,TO_DELIVER,18/04/2026 02:16:05,30/04/2026,2394.40,L228,3
CMD260417332,TO_DELIVER,18/04/2026 02:16:04,30/04/2026,3899.70,L228,4
CMD260417326,TO_DELIVER,18/04/2026 01:24:08,30/04/2026,5555.20,L228,5
CMD260417334,TO_DELIVER,18/04/2026 02:16:07,30/04/2026,5555.20,L228,6
CMD260418042,TO_DELIVER,18/04/2026 20:19:44,30/04/2026,17405.00,L229,1
CMD260424518,TO_DELIVER,25/04/2026 10:50:08,30/04/2026,174.05,L229,2
CMD260413848,TO_DELIVER,14/04/2026 18:38:33,30/04/2026,10192.00,L229,3
CMD260413861,TO_DELIVER,14/04/2026 18:45:34,30/04/2026,50960.00,L229,4
CMD260424519,TO_DELIVER,25/04/2026 10:50:09,30/04/2026,59845.80,L229,5
